,Borough,Neighborhood,ID,Name,Category,Venue_lat,Venue_lng
79,Queens,Jackson Heights,5424a7a2498ec9a9cdb36746,Black Thai,Thai Restaurant,40.75546531349948,-73.8856754700667
80,Queens,Jackson Heights,4a7b6d8ff964a520fcea1fe3,Arunee Thai,Thai Restaurant,40.749498111391844,-73.88738656779498
81,Queens,Jackson Heights,53af884e498e0a4a4943f670,Kitchen 79,Thai Restaurant,40.74759475929948,-73.88684425477783
82,Queens,Jackson Heights,52f693e6498ed9d2a3fbad75,Eim Khao Mun Kai Elmhurst อิ่ม ข้าวมันไก่เอ็มเฮิสท์,Thai Restaurant,40.74301419509326,-73.8830565603355
83,Queens,Elmhurst,52f693e6498ed9d2a3fbad75,Eim Khao Mun Kai Elmhurst อิ่ม ข้าวมันไก่เอ็มเฮิสท์,Thai Restaurant,40.74301419509326,-73.8830565603355
84,Queens,Elmhurst,5abad6379de23b5eeb077b04,Lamoon,Thai Restaurant,40.74285049616353,-73.88291281240058
85,Queens,Elmhurst,56e210f7cd102122a9fb1d1b,Dek Sen,Thai Restaurant,40.741753,-73.87869599999999
86,Queens,Elmhurst,4b26f895f964a5209d8324e3,Ayada Thai,Thai Restaurant,40.74346877522566,-73.88755206484345
87,Queens,Elmhurst,593f6541123a19687791b390,Hug Esan NYC,Thai Restaurant,40.74363967925668,-73.88739194659337
88,Queens,Elmhurst,53d53756498e2a83f3c2aadb,Paet Rio,Thai Restaurant,40.74328084048648,-73.88352539348799
89,Queens,Elmhurst,531372e9498ebd3be2888afc,Khao Kang ข้าวแกง,Thai Restaurant,40.7434045536266,-73.88809859529692
90,Queens,Elmhurst,4ad15d63f964a5203ede20e3,Spicy Shallot,Thai Restaurant,40.74360779755604,-73.88793849762466
91,Queens,Elmhurst,4c2e801d3ffc952130568ff5,Boon Chu Thai Restaurant,Thai Restaurant,40.74069431922803,-73.87946577082448
92,Queens,Elmhurst,53af884e498e0a4a4943f670,Kitchen 79,Thai Restaurant,40.74759475929948,-73.88684425477783
93,Queens,Elmhurst,560f2343498e6d1819390cb4,Sompong Thai,Thai Restaurant,40.749506948439134,-73.88332349454004
94,Queens,Elmhurst,4a7b6d8ff964a520fcea1fe3,Arunee Thai,Thai Restaurant,40.749498111391844,-73.88738656779498
95,Queens,Forest Hills,46b1ef0df964a520a0491fe3,Bangkok Cuisine,Thai Restaurant,40.72106157925685,-73.84543184469939
96,Queens,Long Island City,5574d051498ed29e025087a4,House of Thai,Thai Restaurant,40.75349378559224,-73.93787824622585
